idfacturacion;idcliente;monto_facturacion
1;1421;156.0
2;2164;190.6
3;30105;180.1
4;5909;21.8
5;47673;61.7
6;47630;142.6
7;13188;78.4
8;47665;35.8
9;42266;157.1
10;8266;148.9
11;47677;136.4
12;47627;197.9
13;47676;92.2
14;47683;167.7
15;47679;146.2
16;47710;41.3
17;47711;109.7
18;47712;182.3
19;25309;81.9
20;47595;159.4
21;47657;141.9
22;47655;107.3
23;47654;91.7
24;47658;46.7
25;47671;151.4
26;47715;181.5
27;47690;32.4
28;47662;102.9
29;47672;150.9
30;47704;35.4
31;22084;45.3
32;47675;59.2
33;47714;30.7
34;47697;176.2
35;47669;44.1
36;47661;154.0
37;26082;109.9
38;47684;96.2
39;23204;102.6
40;27200;180.2
41;22100;55.2
42;19455;125.9
43;20278;151.4
44;25233;107.2
45;19861;184.9
46;47519;192.1
47;15868;154.3
48;47598;181.7
49;20831;124.6
50;6418;43.3
51;9278;17.6
52;9858;82.3
53;47674;169.8
54;1664;101.4
55;47631;42.8
56;16424;60.9
57;2158;185.1
58;5897;167.2
59;47659;26.0
60;47652;16.4
61;47660;93.1
62;47678;30.6
63;47685;19.6
64;47687;42.2
65;47705;99.5
66;47686;195.4
67;3746;20.0
68;47670;97.3
69;47692;111.1
70;47664;183.8
71;47689;63.9
72;47700;77.6
73;47681;55.4
74;47691;184.4
75;1054;566.8
76;47682;430.0
77;47663;280.9
78;47695;67.1
79;23670;120.9
80;47693;44.9
